"This data is licensed under a Creative Commons Attribution-NonCommercial License. http://creativecommons.org/licenses/by-nc/3.0/us/"
"Quote ID","End ID","Who ID","Who (Normalized)","Is Continued?","Is Inner?","Is Auto-generated?"
"01001003.1","01001003.2","01001003.02","God","0","0","0"
"01001006.1","01001006.2","01001006.02","God","0","0","0"
"01001009.1","01001009.2","01001009.02","God","0","0","0"
"01001011.1","01001011.2","01001011.02","God","0","0","0"
"01001014.1","01001015.1","01001014.02","God","0","0","0"
"01001020.1","01001020.2","01001020.02","God","0","0","0"
"01001022.1","01001022.2","01001022.02","God","0","0","0"
"01001024.1","01001024.2","01001024.02","God","0","0","0"
"01001026.1","01001026.2","01001026.02","God","0","0","0"
"01001028.1","01001028.2","01001028.06","God","0","0","0"
"01001029.1","01001030.1","01001029.02","God","0","0","0"
"01002016.1","01002017.1","01002016.03 01002016.04","God","0","0","0"
"01002018.1","01002018.2","01002018.03 01002018.04","God","0","0","0"
"01002023.1","01002023.2","01002023.03","Adam","0","0","0"
"01003001.1","01003001.4","01003001.05","Satan","0","0","0"
"01003001.2","01003001.3","01003001.28","@God","0","1","0"
"01003002.1","01003003.3","01003002.03","Eve","0","0","0"
"01003003.1","01003003.2","01003003.02","@God","0","1","0"
"01003004.1","01003005.1","01003004.03","Satan","0","0","0"
"01003009.1","01003009.2","01003009.03 01003009.04","God","0","0","0"
"01003010.1","01003010.2","01003010.02","Adam","0","0","0"
"01003011.1","01003011.2","01003011.01","God","0","0","0"
"01003012.1","01003012.2","01003012.02","Adam","0","0","0"
"01003013.1","01003013.2","01003013.03 01003013.04","God","0","0","0"
"01003013.3","01003013.4","01003013.17","Eve","0","0","0"
"01003014.1","01003015.1","01003014.02 01003014.03","God","0","0","0"
"01003016.1","01003016.2","01003016.04","God","0","0","0"
"01003017.1","01003019.1","01003017.04","God","0","0","0"
"01003017.2","01003017.3","01003017.24","@God","0","1","0"
"01003022.1","01003022.2","01003022.03 01003022.04","God","0","0","0"
"01004001.1","01004001.2","01004001.07","Eve","0","0","0"
"01004006.1","01004007.1","01004006.02","God","0","0","0"
"01004009.1","01004009.2","01004009.03","God","0","0","0"
"01004009.3","01004009.4","01004009.12","Cain","0","0","0"
"01004010.1","01004012.1","01004010.03","God","0","0","0"
"01004013.1","01004014.1","01004013.01","Cain","0","0","0"
"01004015.1","01004015.2","01004015.03","God","0","0","0"
"01004023.1","01004024.1","01004023.01","Lamech","0","0","0"
"01004025.1","01004025.2","01004025.18","Eve","0","0","0"
"01005029.1","01005029.2","01005028.02","Lamech","0","0","0"
"01006003.1","01006003.2","01006003.03","God","0","0","0"
"01006007.1","01006007.2","01006007.03","God","0","0","0"
"01006013.1","01006021.1","01006013.02","God","0","0","0"
"01007001.1","01007004.1","01007001.03","Lord","0","0","0"
"01008016.1","01008017.1","01008015.02","God","0","0","0"
"01008021.1","01008022.1","01008021.10","Lord","0","0","0"
"01009001.1","01009007.1","01009001.02","God","0","0","0"
